"","LastSalePrice","SQFTmain","Bedrooms","Bathrooms","ZIPcode5","YearOfSale","LandSQFT","TaxBeforeSale","AgeNew","Pool","View"
"546",4716547,NA,4,5,90210,2008,35725,4165241,TRUE,TRUE,"none"
"547",7605076,6057,5,6,90210,2013,28826,1477231,TRUE,TRUE,"none"
"548",12500125,5437,5,6,90210,2010,29012,8905980,TRUE,FALSE,"none"
"549",11800118,9329,6,6,90210,2012,50910,12342242,TRUE,TRUE,"City"
"550",4450044,NA,3,4,90210,2015,13111,3063846,TRUE,FALSE,"none"
"551",3400034,3764,4,5,90210,2019,14907,360876,FALSE,FALSE,"none"
"552",8950089,5495,5,5,90210,2014,20750,5097960,TRUE,TRUE,"none"
"553",18335183,6981,5,5,90210,2016,27362,9414563,TRUE,TRUE,"none"
"554",1892500,3463,4,5,90210,2011,5691,787689,TRUE,TRUE,"none"
"555",5945059,4495,4,5,90210,2018,20635,567955,TRUE,TRUE,"none"
"556",25000250,10982,12,8,90210,2015,84412,2065082,TRUE,TRUE,"none"
"557",10700107,8743,6,9,90210,2015,36910,1119178,TRUE,TRUE,"none"
"558",13000130,8011,4,6,90210,2013,24253,10954317,TRUE,TRUE,"none"
"559",3800038,2750,2,3,90210,2019,15477,609125,FALSE,FALSE,"none"
"560",33142831,11497,6,10,90210,2018,55821,21430465,TRUE,TRUE,"City"
"561",4189000,8838,6,8,90210,2012,14286,1061333,FALSE,TRUE,"none"
"562",3495034,2429,3,4,90210,2016,22077,281004,TRUE,FALSE,"none"
"563",3000030,3717,3,5,90210,2009,20277,498110,TRUE,TRUE,"none"
"564",6620066,4441,5,7,90210,2017,14221,3106602,TRUE,TRUE,"none"
"565",12900129,NA,5,9,90210,2016,31623,5805351,TRUE,TRUE,"none"
"566",27625276,6872,6,7,90210,2018,26735,8349725,TRUE,TRUE,"none"
"567",12250122,6456,7,9,90210,2017,29970,667683,TRUE,TRUE,"none"
"568",9400094,12016,6,9,90210,2013,32163,5880733,TRUE,TRUE,"none"
"569",15850158,7636,5,8,90210,2016,50770,10517891,TRUE,TRUE,"City"
"570",5250052,NA,2,3,90210,2010,16424,2695466,TRUE,FALSE,"none"
"571",15500155,4965,4,5,90210,2016,48923,3086796,TRUE,TRUE,"none"
"572",4550000,6006,7,6,90210,2012,14151,1465390,TRUE,TRUE,"none"
"573",15700157,14609,5,8,90210,2011,37575,17807694,TRUE,TRUE,"none"
"574",8200082,6311,4,6,90210,2010,20011,6700000,TRUE,TRUE,"none"
"575",3850000,3996,4,6,90210,2008,27230,371458,TRUE,TRUE,"none"
"576",2625026,3442,3,4,90210,2008,16960,2024444,TRUE,TRUE,"none"
"577",8000080,7841,4,7,90210,2011,45047,434366,TRUE,TRUE,"none"
"578",8000080,9645,5,8,90210,2015,24427,12657203,TRUE,FALSE,"City"
"579",27500275,10909,5,8,90210,2013,77690,10367154,TRUE,TRUE,"City"
"580",10274102,9663,4,6,90210,2011,29363,1887195,TRUE,TRUE,"none"
"581",4800048,2615,3,3,90210,2016,15139,2890749,TRUE,TRUE,"none"
"582",5925059,3696,5,5,90210,2014,14757,467659,TRUE,TRUE,"none"
"583",6100061,6190,4,9,90210,2012,15250,5126224,FALSE,TRUE,"City"
"584",10600106,NA,7,7,90210,2013,42101,7700000,TRUE,TRUE,"none"
"585",6245562,5678,5,5,90210,2013,17006,529183,TRUE,TRUE,"none"
"586",6500065,5645,6,6,90210,2009,22901,503011,TRUE,TRUE,"none"
"587",5450054,3856,4,4,90210,2013,17464,372275,TRUE,TRUE,"none"
"588",7900079,4144,4,7,90210,2019,15332,2416249,FALSE,TRUE,"none"
"589",7500500,5392,6,6,90210,2014,24847,1991886,TRUE,TRUE,"none"
"590",7000070,4228,4,6,90210,2017,20636,784331,TRUE,TRUE,"none"
"591",10500105,10042,6,7,90210,2012,19038,2691533,TRUE,TRUE,"none"
"592",23000230,16733,6,9,90210,2010,66966,10984568,TRUE,TRUE,"none"
"593",6210062,5351,5,7,90210,2009,31377,7032624,TRUE,TRUE,"none"
"594",4855048,NA,4,5,90210,2013,14990,440435,TRUE,TRUE,"none"
"595",12755127,NA,9,10,90210,2019,22914,7941238,FALSE,TRUE,"none"
"596",5475054,2626,4,3,90210,2018,13120,6175000,TRUE,TRUE,"none"
"597",8100081,7180,5,6,90210,2014,24838,4852907,TRUE,TRUE,"none"
"598",13200132,11397,7,11,90210,2019,29428,10597477,FALSE,TRUE,"none"
"599",4500045,6392,5,6,90210,2010,18512,3150909,TRUE,TRUE,"none"
"600",8950089,6787,5,7,90210,2019,14556,3505323,FALSE,TRUE,"none"
"601",6200062,NA,2,2,90210,2019,13091,386738,FALSE,FALSE,"none"
"602",6180061,11117,4,6,90210,2013,27641,1973052,TRUE,TRUE,"none"
"603",3755000,3144,6,4,90210,2011,16786,390356,TRUE,TRUE,"none"
"604",9600096,7744,7,7,90210,2015,21959,2181910,TRUE,TRUE,"none"
"605",4050000,4547,5,5,90210,2012,13543,2023720,TRUE,TRUE,"none"
"606",7252072,9754,6,7,90210,2013,14050,3962235,TRUE,TRUE,"none"
"607",8540085,8766,7,8,90210,2014,20206,8206655,TRUE,TRUE,"none"
"608",4500000,4848,4,6,90210,2010,15542,699069,TRUE,TRUE,"none"
"609",6000060,4663,4,5,90210,2011,23298,493182,TRUE,TRUE,"none"
"610",5650056,3930,4,5,90210,2008,20355,396615,TRUE,FALSE,"none"
"611",9350093,NA,4,6,90210,2016,28003,788366,TRUE,TRUE,"none"
"612",7800000,11679,5,8,90210,2009,45999,9417158,TRUE,TRUE,"City"
"613",22000220,4820,2,4,90210,2018,45950,4649123,TRUE,FALSE,"none"
"614",2665000,5134,5,5,90210,2011,13432,509958,TRUE,FALSE,"none"
"615",3085030,4886,4,4,90210,2011,20504,406424,TRUE,TRUE,"none"
"616",10950109,9405,7,9,90210,2008,36433,8843400,TRUE,TRUE,"none"
"617",8350083,NA,5,5,90210,2017,23320,2382947,TRUE,TRUE,"none"
"618",11945119,3809,3,4,90210,2016,34929,3122490,TRUE,TRUE,"none"
"619",2500025,2256,2,3,90210,2019,18933,309302,FALSE,TRUE,"none"
"620",7500000,2990,3,4,90210,2015,16376,3422778,TRUE,TRUE,"none"
"621",30000300,10380,5,8,90210,2019,30248,7855389,FALSE,TRUE,"none"
"622",14520145,9138,6,8,90210,2012,46099,8056207,TRUE,TRUE,"none"
"623",3385033,2967,3,4,90210,2013,14779,334334,TRUE,TRUE,"none"
"624",9625096,3476,4,5,90210,2015,32698,2908754,TRUE,TRUE,"none"
"625",8675586,4133,4,4,90210,2018,24660,443953,TRUE,TRUE,"none"
"626",10600106,11369,7,11,90210,2014,26006,8742271,TRUE,TRUE,"none"
"627",4225000,2608,2,3,90210,2012,15564,1952593,FALSE,TRUE,"none"
"628",4080000,5078,3,4,90210,2011,32266,2776000,TRUE,TRUE,"none"
"629",16200162,3007,3,4,90210,2016,24736,460365,TRUE,TRUE,"none"
"630",5850000,12800,7,9,90210,2013,33194,437309,TRUE,TRUE,"none"
"631",16200162,6066,6,6,90210,2017,35928,1227198,TRUE,TRUE,"none"
"632",5490000,5476,6,5,90210,2011,18555,471693,TRUE,TRUE,"none"
"633",8255082,5296,7,4,90210,2018,16781,2434391,TRUE,TRUE,"none"
"634",19850198,NA,3,5,90210,2019,16436,725474,FALSE,TRUE,"none"
"635",2836028,4512,5,5,90210,2010,12811,3471000,TRUE,TRUE,"none"
"636",6945569,NA,7,7,90210,2013,23641,5278500,TRUE,TRUE,"none"
"637",6567565,6840,6,7,90210,2013,25069,4300351,TRUE,TRUE,"none"
"638",7300073,7280,6,5,90210,2010,18502,3379533,TRUE,TRUE,"none"
"639",7500075,4120,2,4,90210,2017,14794,5822858,TRUE,TRUE,"none"
"640",8500085,3299,6,3,90210,2014,34875,6450480,TRUE,FALSE,"none"
"641",9826098,6690,8,6,90210,2014,43952,680897,TRUE,TRUE,"none"
"642",7100071,4514,5,5,90210,2017,14383,3225983,TRUE,TRUE,"none"
"643",3875038,5882,8,8,90210,2011,13154,2986610,TRUE,TRUE,"none"
"644",10500105,8888,5,6,90210,2019,23421,6062425,FALSE,TRUE,"none"
"645",9465094,13733,12,12,90210,2016,29112,5907170,TRUE,FALSE,"none"
"646",5900059,4155,4,4,90210,2012,15366,4300000,FALSE,TRUE,"none"
"647",4200000,6865,5,9,90210,2009,16464,1170564,TRUE,TRUE,"none"
"648",8050080,4170,4,5,90210,2016,18270,1690251,TRUE,TRUE,"none"
"649",12150121,8298,4,8,90210,2013,23479,6574492,TRUE,TRUE,"none"
"650",4695546,5856,6,8,90210,2015,22723,2875448,TRUE,TRUE,"none"
"651",7495074,5333,7,4,90210,2014,18421,4832634,TRUE,TRUE,"none"
"652",5650000,4352,4,4,90210,2014,23968,491743,TRUE,FALSE,"none"
"653",8323583,5352,5,6,90210,2019,18876,1465241,FALSE,TRUE,"none"
"654",10050100,7638,6,8,90210,2015,24838,6382202,TRUE,TRUE,"none"
"655",17126171,11588,5,7,90210,2018,29835,16320000,TRUE,TRUE,"none"
"656",10000000,8434,6,8,90210,2010,21214,6926000,TRUE,TRUE,"none"
"657",8000080,NA,6,7,90210,2014,15706,4624031,TRUE,TRUE,"none"
"658",8800088,6785,6,7,90210,2019,20084,5767378,FALSE,TRUE,"none"
"659",25500255,10525,6,9,90210,2017,22570,16051100,TRUE,TRUE,"none"
"660",8843088,4778,5,4,90210,2015,14702,6345863,TRUE,FALSE,"none"
"661",7500075,4713,4,5,90210,2016,15357,651240,TRUE,TRUE,"none"
"662",10100101,6736,5,5,90210,2014,22429,5798355,TRUE,TRUE,"none"
